TRIP_NUMBER,VEHICAL_ID,CARD_DRIVER,PICKUP_DATETIME,PICKUP_LATITUDE,PICKUP_LONGTITUDE,DROPOFF_DATETIME,DROPOFF_LATITUDE,DROPOFF_LONGTITUDE,METER_FARE,COUNT,,,,,,,,,,
11,2024,SUPHAK,2020-09-25 18:57:19.000,13.71809,100.66466,2020-09-25 19:01:56.000,13.73513,100.64204,51,1,,,,,,,,,,
12,2024,SUPHAK,2020-09-25 19:03:34.000,13.7303,100.64147,2020-09-25 19:14:48.000,13.70773,100.63457,61,1,,,,,,,,,,
13,2024,SUPHAK,2020-09-25 19:35:27.000,13.71184,100.60928,2020-09-25 19:50:49.000,13.71413,100.65451,67,1,,,,,,,,,,
14,2024,SUPHAK,2020-09-25 20:10:41.000,13.70906,100.5993,2020-09-25 20:36:10.000,13.7403,100.55614,87,1,,,,,,,,,,
4,2026,SUTTHI,2020-09-25 20:49:39.000,13.75285,100.49837,2020-09-25 21:05:42.000,13.72002,100.47414,69,1,,,,,,,,,,
8,2027,MASAME,2020-09-25 18:03:20.000,13.80898,100.5576,2020-09-25 18:46:54.000,13.82707,100.52718,117,1,,,,,,,,,,
9,2027,MASAME,2020-09-25 18:49:31.000,13.81882,100.51803,2020-09-25 18:54:16.000,13.80646,100.52328,43,1,,,,,,,,,,
6,2028,HONGWI,2020-09-25 18:43:53.000,13.78877,100.54616,2020-09-25 18:52:33.000,13.79337,100.54953,47,1,,,,,,,,,,
7,2028,HONGWI,2020-09-25 18:53:26.000,13.79337,100.54953,2020-09-25 18:56:59.000,13.7987,100.54824,37,1,,,,,,,,,,
8,2028,HONGWI,2020-09-25 19:12:13.000,13.8295,100.56343,2020-09-25 19:32:20.000,13.82015,100.57936,67,1,,,,,,,,,,
9,2028,HONGWI,2020-09-25 19:33:19.000,13.81937,100.57949,2020-09-25 19:45:32.000,13.81778,100.59139,49,1,,,,,,,,,,
10,2028,HONGWI,2020-09-25 19:53:29.000,13.81554,100.59622,2020-09-25 20:16:56.000,13.80572,100.57414,89,1,,,,,,,,,,
11,2028,HONGWI,2020-09-25 20:19:22.000,13.80797,100.57022,2020-09-25 20:24:38.000,13.81143,100.56052,41,1,,,,,,,,,,
12,2028,HONGWI,2020-09-25 20:39:01.000,13.81761,100.56232,2020-09-25 20:56:09.000,13.83097,100.5688,59,1,,,,,,,,,,
9,2042,PHIMPH,2020-09-25 18:20:25.000,13.71235,100.4708,2020-09-25 18:50:39.000,13.67028,100.45723,87,1,,,,,,,,,,
10,2042,PHIMPH,2020-09-25 18:53:36.000,13.67244,100.45659,2020-09-25 19:41:19.000,13.72814,100.39578,169,1,,,,,,,,,,
11,2042,PHIMPH,2020-09-25 19:42:10.000,13.728,100.39578,2020-09-25 20:00:04.000,13.71931,100.44772,79,1,,,,,,,,,,
12,2042,PHIMPH,2020-09-25 20:00:53.000,13.71918,100.44769,2020-09-25 20:32:30.000,13.69591,100.46468,95,1,,,,,,,,,,
9,2043,KHUNPR,2020-09-25 18:06:14.000,13.74704,100.50083,2020-09-25 18:13:13.000,13.75986,100.49898,43,1,,,,,,,,,,
10,2043,KHUNPR,2020-09-25 18:17:58.000,13.75615,100.48983,2020-09-25 18:21:38.000,13.74494,100.49452,39,1,,,,,,,,,,
11,2043,KHUNPR,2020-09-25 18:24:17.000,13.74514,100.49901,2020-09-25 18:44:16.000,13.78641,100.46824,71,1,,,,,,,,,,
12,2043,KHUNPR,2020-09-25 19:19:21.000,13.75572,100.48962,2020-09-25 19:34:11.000,13.77426,100.5273,73,1,,,,,,,,,,
8,2044,DONTHA,2020-09-25 18:00:05.000,13.7417,100.48296,2020-09-25 18:15:41.000,13.73204,100.46717,65,1,,,,,,,,,,
9,2044,DONTHA,2020-09-25 19:35:44.000,13.72091,100.47702,2020-09-25 19:41:12.000,13.72138,100.50282,49,1,,,,,,,,,,
10,2044,DONTHA,2020-09-25 19:49:49.000,13.73589,100.49718,2020-09-25 19:55:21.000,13.75186,100.49665,45,1,,,,,,,,,,
11,2044,DONTHA,2020-09-25 20:08:04.000,13.75425,100.48955,2020-09-25 20:19:53.000,13.76708,100.50506,57,1,,,,,,,,,,
12,2044,DONTHA,2020-09-25 20:26:10.000,13.76084,100.50042,2020-09-25 20:31:33.000,13.75238,100.49162,47,1,,,,,,,,,,
